,AÑO,MES,PRODUCTO,CANTIDADCOMPRA
0,2023,1,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,890
1,2023,1,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,1380
2,2023,1,APOSITO DE HIDROFIBRA  / CINTA-18,575
3,2023,1,APOSITO DE ESPUMA POLIURETANO / SACRO-11,100
4,2023,1,APOSITO C/ CARBON Y PLATA-6,1800
5,2023,1,APOSITO DE FIBRAS DE POLIACRILATO-3,170
6,2023,1,APOSITO MALLADO C/ PARAFINA-39,2220
7,2023,1,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,8330
8,2023,1,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2215
9,2023,1,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,0
10,2023,1,APOSITO DE HIDROCOLOIDE-9,3624
11,2023,1,APOSITO DE HIDROCOLOIDE-7,495
12,2023,1,APOSITO DE HIDROCOLOIDE C/ PLATA-2,0
13,2023,1,APOSITO DE ESPUMA POLIURETANO-8,860
14,2023,1,APÓSITO ABSORBENTE C/ ADHESIVO-22,11520
15,2023,1,APÓSITO ABSORBENTE C/ ADHESIVO-23,1680
16,2023,1,HIDROGEL-37,520
17,2023,1,APOSITO MALLADO C/ PARAFINA-38,3260
18,2023,1,APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,470
19,2023,1,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,168
20,2023,1,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,1970
21,2023,1,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,95
22,2023,1,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,50
23,2023,1,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,0
24,2023,1,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,1900
25,2023,1,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,5550
26,2023,1,APOSITO ESPUMA DE POLIVINILO ALCOHOL  P/ TERAPIA CONVENCIONAL PRESION NEGATIVA-34,30
27,2023,1,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40,25
28,2023,1,APOSITO MALLADO C/ SILICONA-0,210
29,2023,1,APOSITO C/ CARBON Y PLATA-4,1220
30,2023,1,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,14000
31,2023,1,APOSITO DE HIDROCOLOIDE-3,415
32,2023,1,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,35
33,2023,1,EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,50
34,2023,1,EQ. DE PRESIÓN NEGATIVA ABDOMINAL-29,16
35,2023,1,APÓSITO TRANSPARENTE ADHESIVO-24,5000
36,2023,1,APOSITO DE ALGINATO C/ PLATA-6,110
37,2023,1,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-27,4
38,2023,1,APOSITO DE HIDROCOLOIDE-6,610
39,2023,1,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,1560
40,2023,1,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,340
41,2023,1,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 1cm.-30,350
42,2023,1,APÓSITO TRANSPARENTE ADHESIVO-20,3100
43,2023,1,APOSITO ABSORBENTE S/ ADHESIVO-25,200
44,2023,1,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-28,0
45,2023,1,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 2cm.-31,0
46,2023,1,EQ. DE PRESION NEGATIVA CON INSTILACIÓN-33,0
47,2023,2,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,1040
48,2023,2,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,1220
49,2023,2,APOSITO DE HIDROFIBRA  / CINTA-18,625
50,2023,2,APOSITO DE ESPUMA POLIURETANO / SACRO-11,200
51,2023,2,APOSITO C/ CARBON Y PLATA-6,3000
52,2023,2,APOSITO DE FIBRAS DE POLIACRILATO-3,1520
53,2023,2,APOSITO MALLADO C/ PARAFINA-39,1690
54,2023,2,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,13180
55,2023,2,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,4295
56,2023,2,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,0
57,2023,2,APOSITO DE HIDROCOLOIDE-9,3309
58,2023,2,APOSITO DE HIDROCOLOIDE-7,590
59,2023,2,APOSITO DE HIDROCOLOIDE C/ PLATA-2,0
60,2023,2,APOSITO DE ESPUMA POLIURETANO-8,400
61,2023,2,APÓSITO ABSORBENTE C/ ADHESIVO-22,11520
62,2023,2,APÓSITO ABSORBENTE C/ ADHESIVO-23,6160
63,2023,2,HIDROGEL-37,3230
64,2023,2,APOSITO MALLADO C/ PARAFINA-38,3430
65,2023,2,APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,440
66,2023,2,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,192
67,2023,2,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,1750
68,2023,2,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,35
69,2023,2,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,55
70,2023,2,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,15
71,2023,2,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,3470
72,2023,2,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,6990
73,2023,2,APOSITO ESPUMA DE POLIVINILO ALCOHOL  P/ TERAPIA CONVENCIONAL PRESION NEGATIVA-34,20
74,2023,2,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40,13
75,2023,2,APOSITO MALLADO C/ SILICONA-0,700
76,2023,2,APOSITO C/ CARBON Y PLATA-4,3360
77,2023,2,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,15000
78,2023,2,APOSITO DE HIDROCOLOIDE-3,1365
79,2023,2,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,90
80,2023,2,EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,30
81,2023,2,EQ. DE PRESIÓN NEGATIVA ABDOMINAL-29,11
82,2023,2,APÓSITO TRANSPARENTE ADHESIVO-24,8300
83,2023,2,APOSITO DE ALGINATO C/ PLATA-6,200
84,2023,2,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-27,26
85,2023,2,APOSITO DE HIDROCOLOIDE-6,2410
86,2023,2,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,3030
87,2023,2,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,640
88,2023,2,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 1cm.-30,700
89,2023,2,APÓSITO TRANSPARENTE ADHESIVO-20,3050
90,2023,2,APOSITO ABSORBENTE S/ ADHESIVO-25,400
91,2023,2,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-28,2
92,2023,2,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 2cm.-31,700
93,2023,2,EQ. DE PRESION NEGATIVA CON INSTILACIÓN-33,0
94,2023,3,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,1070
95,2023,3,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,1600
96,2023,3,APOSITO DE HIDROFIBRA  / CINTA-18,640
97,2023,3,APOSITO DE ESPUMA POLIURETANO / SACRO-11,0
98,2023,3,APOSITO C/ CARBON Y PLATA-6,2700
99,2023,3,APOSITO DE FIBRAS DE POLIACRILATO-3,340
100,2023,3,APOSITO MALLADO C/ PARAFINA-39,1710
101,2023,3,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,4620
102,2023,3,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,1730
103,2023,3,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,0
104,2023,3,APOSITO DE HIDROCOLOIDE-9,2685
105,2023,3,APOSITO DE HIDROCOLOIDE-7,130
106,2023,3,APOSITO DE HIDROCOLOIDE C/ PLATA-2,0
107,2023,3,APOSITO DE ESPUMA POLIURETANO-8,850
108,2023,3,APÓSITO ABSORBENTE C/ ADHESIVO-22,10240
109,2023,3,APÓSITO ABSORBENTE C/ ADHESIVO-23,3360
110,2023,3,HIDROGEL-37,980
111,2023,3,APOSITO MALLADO C/ PARAFINA-38,3250
112,2023,3,APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,130
113,2023,3,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,216
114,2023,3,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,1320
115,2023,3,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,53
116,2023,3,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,115
117,2023,3,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,0
118,2023,3,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,1230
119,2023,3,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,2730
120,2023,3,APOSITO ESPUMA DE POLIVINILO ALCOHOL  P/ TERAPIA CONVENCIONAL PRESION NEGATIVA-34,20
121,2023,3,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40,9
122,2023,3,APOSITO MALLADO C/ SILICONA-0,840
123,2023,3,APOSITO C/ CARBON Y PLATA-4,150
124,2023,3,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,6000
125,2023,3,APOSITO DE HIDROCOLOIDE-3,255
126,2023,3,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,90
127,2023,3,EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,35
128,2023,3,EQ. DE PRESIÓN NEGATIVA ABDOMINAL-29,22
129,2023,3,APÓSITO TRANSPARENTE ADHESIVO-24,5500
130,2023,3,APOSITO DE ALGINATO C/ PLATA-6,60
131,2023,3,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-27,7
132,2023,3,APOSITO DE HIDROCOLOIDE-6,0
133,2023,3,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,210
134,2023,3,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,970
135,2023,3,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 1cm.-30,350
136,2023,3,APÓSITO TRANSPARENTE ADHESIVO-20,1600
137,2023,3,APOSITO ABSORBENTE S/ ADHESIVO-25,0
138,2023,3,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-28,2
139,2023,3,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 2cm.-31,0
140,2023,3,EQ. DE PRESION NEGATIVA CON INSTILACIÓN-33,5
141,2023,4,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,930
142,2023,4,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,1430
143,2023,4,APOSITO DE HIDROFIBRA  / CINTA-18,485
144,2023,4,APOSITO DE ESPUMA POLIURETANO / SACRO-11,100
145,2023,4,APOSITO C/ CARBON Y PLATA-6,600
146,2023,4,APOSITO DE FIBRAS DE POLIACRILATO-3,300
147,2023,4,APOSITO MALLADO C/ PARAFINA-39,1720
148,2023,4,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,7680
149,2023,4,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,1895
150,2023,4,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,0
151,2023,4,APOSITO DE HIDROCOLOIDE-9,2358
152,2023,4,APOSITO DE HIDROCOLOIDE-7,200
153,2023,4,APOSITO DE HIDROCOLOIDE C/ PLATA-2,0
154,2023,4,APOSITO DE ESPUMA POLIURETANO-8,200
155,2023,4,APÓSITO ABSORBENTE C/ ADHESIVO-22,7040
156,2023,4,APÓSITO ABSORBENTE C/ ADHESIVO-23,1680
157,2023,4,HIDROGEL-37,1080
158,2023,4,APOSITO MALLADO C/ PARAFINA-38,2290
159,2023,4,APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,0
160,2023,4,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,96
161,2023,4,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,990
162,2023,4,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,26
163,2023,4,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,50
164,2023,4,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,25
165,2023,4,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,2080
166,2023,4,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,4350
167,2023,4,APOSITO ESPUMA DE POLIVINILO ALCOHOL  P/ TERAPIA CONVENCIONAL PRESION NEGATIVA-34,0
168,2023,4,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40,32
169,2023,4,APOSITO MALLADO C/ SILICONA-0,770
170,2023,4,APOSITO C/ CARBON Y PLATA-4,0
171,2023,4,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,5000
172,2023,4,APOSITO DE HIDROCOLOIDE-3,0
173,2023,4,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,55
174,2023,4,EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,40
175,2023,4,EQ. DE PRESIÓN NEGATIVA ABDOMINAL-29,5
176,2023,4,APÓSITO TRANSPARENTE ADHESIVO-24,3600
177,2023,4,APOSITO DE ALGINATO C/ PLATA-6,110
178,2023,4,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-27,14
179,2023,4,APOSITO DE HIDROCOLOIDE-6,300
180,2023,4,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,810
181,2023,4,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,450
182,2023,4,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 1cm.-30,0
183,2023,4,APÓSITO TRANSPARENTE ADHESIVO-20,900
