AÑO,MES,PRODUCTO,CANTIDADCOMPRA
2023,1,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,890
2023,1,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,1380
2023,1,APOSITO DE HIDROFIBRA  / CINTA-18,575
2023,1,APOSITO DE ESPUMA POLIURETANO / SACRO-11,100
2023,1,APOSITO C/ CARBON Y PLATA-6,1800
2023,1,APOSITO DE FIBRAS DE POLIACRILATO-3,170
2023,1,APOSITO MALLADO C/ PARAFINA-39,2220
2023,1,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,8330
2023,1,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2215
2023,1,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,0
2023,1,APOSITO DE HIDROCOLOIDE-9,3624
2023,1,APOSITO DE HIDROCOLOIDE-7,495
2023,1,APOSITO DE HIDROCOLOIDE C/ PLATA-2,0
2023,1,APOSITO DE ESPUMA POLIURETANO-8,860
2023,1,APÓSITO ABSORBENTE C/ ADHESIVO-22,11520
2023,1,APÓSITO ABSORBENTE C/ ADHESIVO-23,1680
2023,1,HIDROGEL-37,520
2023,1,APOSITO MALLADO C/ PARAFINA-38,3260
2023,1,APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,470
2023,1,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,168
2023,1,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,1970
2023,1,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,95
2023,1,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,50
2023,1,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,0
2023,1,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,1900
2023,1,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,5550
2023,1,APOSITO ESPUMA DE POLIVINILO ALCOHOL  P/ TERAPIA CONVENCIONAL PRESION NEGATIVA-34,30
2023,1,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40,25
2023,1,APOSITO MALLADO C/ SILICONA-0,210
2023,1,APOSITO C/ CARBON Y PLATA-4,1220
2023,1,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,14000
2023,1,APOSITO DE HIDROCOLOIDE-3,415
2023,1,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,35
2023,1,EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,50
2023,1,EQ. DE PRESIÓN NEGATIVA ABDOMINAL-29,16
2023,1,APÓSITO TRANSPARENTE ADHESIVO-24,5000
2023,1,APOSITO DE ALGINATO C/ PLATA-6,110
