AÑO,MES,PRODUCTO,TIPOCOMPRA,HOSPITAL,TGL,CANTIDADCOMPRA
2015,1,APOSITO ABSORBENTE S/ ADHESIVO-25,Compra menor,10,ALMACENABLE,400
2015,1,APOSITO C/ CARBON Y PLATA-4,Compra menor,10,ALMACENABLE,100
2015,1,APOSITO C/ CARBON Y PLATA-4,Compra menor,18,ALMACENABLE,600
2015,1,APOSITO DE ALGINATO C/ PLATA-6,Compra menor,10,ALMACENABLE,100
2015,1,APOSITO DE ESPUMA POLIURETANO / SACRO-11,Compra menor,0,ALMACENABLE,300
2015,1,APOSITO DE ESPUMA POLIURETANO / SACRO-11,Compra menor,10,ALMACENABLE,100
2015,1,APOSITO DE ESPUMA POLIURETANO-8,Compra menor,10,ALMACENABLE,170
2015,1,APOSITO DE ESPUMA POLIURETANO-8,Compra menor,4,ALMACENABLE,130
2015,1,APOSITO DE ESPUMA POLIURETANO-8,Compra menor,6,ALMACENABLE,80
2015,1,APOSITO DE HIDROCOLOIDE-3,Compra menor,10,ALMACENABLE,665
2015,1,APOSITO DE HIDROCOLOIDE-3,Compra menor,6,ALMACENABLE,50
2015,1,APOSITO DE HIDROCOLOIDE-6,Compra menor,10,ALMACENABLE,1050
2015,1,APOSITO DE HIDROCOLOIDE-9,Compra menor,0,ALMACENABLE,1002
2015,1,APOSITO DE HIDROCOLOIDE-9,Compra menor,18,ALMACENABLE,402
2015,1,APOSITO DE HIDROCOLOIDE-9,Compra menor,4,ALMACENABLE,36
2015,1,APOSITO DE HIDROFIBRA  / CINTA-18,Compra menor,11,TRANSITO,15
2015,1,APOSITO DE HIDROFIBRA  / CINTA-18,Compra menor,12,TRANSITO,5
2015,1,APOSITO DE HIDROFIBRA  / CINTA-18,Compra menor,4,TRANSITO,5
2015,1,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,Compra menor,0,ALMACENABLE,400
2015,1,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,Compra menor,10,ALMACENABLE,320
2015,1,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,0,ALMACENABLE,250
2015,1,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,10,ALMACENABLE,210
2015,1,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,13,ALMACENABLE,100
2015,1,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,18,ALMACENABLE,90
2015,1,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,Compra menor,6,ALMACENABLE,360
