AÑO,MES,PRODUCTO,PRECIOUNIDAD
2023,1,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,6.259
2023,1,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,13.443100000000001
2023,1,APOSITO DE HIDROFIBRA  / CINTA-18,2.42
2023,1,APOSITO DE ESPUMA POLIURETANO / SACRO-11,4.7101999999999995
2023,1,APOSITO C/ CARBON Y PLATA-6,2.55376
2023,1,APOSITO DE FIBRAS DE POLIACRILATO-3,5.367999999999999
2023,1,APOSITO MALLADO C/ PARAFINA-39,3.4979999999999998
2023,1,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,1.8590000000000002
2023,1,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,5.279985
2023,1,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,0.0
2023,1,APOSITO DE HIDROCOLOIDE-9,0.329857
2023,1,APOSITO DE HIDROCOLOIDE-7,2.398
2023,1,APOSITO DE HIDROCOLOIDE C/ PLATA-2,0.0
2023,1,APOSITO DE ESPUMA POLIURETANO-8,1.3959000000000001
2023,1,APÓSITO ABSORBENTE C/ ADHESIVO-22,0.1155
2023,1,APÓSITO ABSORBENTE C/ ADHESIVO-23,0.1749
2023,1,HIDROGEL-37,0.7705500000000001
2023,1,APOSITO MALLADO C/ PARAFINA-38,1.5345
2023,1,APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,13.189
2023,1,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,6.489999999999999
2023,1,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,4.718999999999999
2023,1,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,13.189
2023,1,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,85.30228571428572
2023,1,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,0.0
2023,1,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,4.2349958
2023,1,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,2.7280155
2023,1,APOSITO ESPUMA DE POLIVINILO ALCOHOL  P/ TERAPIA CONVENCIONAL PRESION NEGATIVA-34,73.321
2023,1,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40,111.1022
2023,1,APOSITO MALLADO C/ SILICONA-0,3.245022
2023,1,APOSITO C/ CARBON Y PLATA-4,5.7199643
2023,1,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,0.0141
2023,1,APOSITO DE HIDROCOLOIDE-3,1.13058
2023,1,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,90.5572
2023,1,EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,105.09714285714287
2023,1,EQ. DE PRESIÓN NEGATIVA ABDOMINAL-29,518.0533333333333
2023,1,APÓSITO TRANSPARENTE ADHESIVO-24,0.09900000999999999
2023,1,APOSITO DE ALGINATO C/ PLATA-6,1.287
2023,1,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-27,154.0
2023,1,APOSITO DE HIDROCOLOIDE-6,0.46177999999999997
2023,1,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,6.600082499999999
2023,1,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,2.0899807999999997
2023,1,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 1cm.-30,0.48400000000000004
2023,1,APÓSITO TRANSPARENTE ADHESIVO-20,0.27499992
2023,1,APOSITO ABSORBENTE S/ ADHESIVO-25,0.20370370000000002
2023,1,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-28,0.0
2023,1,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 2cm.-31,0.0
2023,1,EQ. DE PRESION NEGATIVA CON INSTILACIÓN-33,0.0
2023,2,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,6.259
2023,2,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,13.4431
2023,2,APOSITO DE HIDROFIBRA  / CINTA-18,2.42
2023,2,APOSITO DE ESPUMA POLIURETANO / SACRO-11,4.7101999999999995
2023,2,APOSITO C/ CARBON Y PLATA-6,2.55376
2023,2,APOSITO DE FIBRAS DE POLIACRILATO-3,5.368
2023,2,APOSITO MALLADO C/ PARAFINA-39,3.498
2023,2,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,1.8590000000000002
2023,2,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,5.279985
2023,2,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,0.0
2023,2,APOSITO DE HIDROCOLOIDE-9,0.329857
2023,2,APOSITO DE HIDROCOLOIDE-7,2.398
2023,2,APOSITO DE HIDROCOLOIDE C/ PLATA-2,0.0
2023,2,APOSITO DE ESPUMA POLIURETANO-8,1.3959000000000001
2023,2,APÓSITO ABSORBENTE C/ ADHESIVO-22,0.1155
2023,2,APÓSITO ABSORBENTE C/ ADHESIVO-23,0.1749
2023,2,HIDROGEL-37,0.7705500000000001
2023,2,APOSITO MALLADO C/ PARAFINA-38,1.5345
2023,2,APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,13.189
2023,2,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,6.489999999999999
2023,2,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,4.719
2023,2,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,13.188999999999998
2023,2,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,83.4808
2023,2,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,22.990000000000002
2023,2,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,4.2349958
2023,2,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-14,2.7280154999999997
2023,2,APOSITO ESPUMA DE POLIVINILO ALCOHOL  P/ TERAPIA CONVENCIONAL PRESION NEGATIVA-34,73.321
2023,2,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA-40,111.1022
2023,2,APOSITO MALLADO C/ SILICONA-0,3.245022
2023,2,APOSITO C/ CARBON Y PLATA-4,5.7199643
2023,2,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,0.0141
2023,2,APOSITO DE HIDROCOLOIDE-3,1.1305800000000001
2023,2,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-36,88.94711111111111
2023,2,EQ. DE PRESION NEGATIVA / Espuma de poliuretano con plata-35,104.19200000000001
2023,2,EQ. DE PRESIÓN NEGATIVA ABDOMINAL-29,526.8377777777778
2023,2,APÓSITO TRANSPARENTE ADHESIVO-24,0.099000009
2023,2,APOSITO DE ALGINATO C/ PLATA-6,1.287
2023,2,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-27,154.0
2023,2,APOSITO DE HIDROCOLOIDE-6,0.46177999999999997
2023,2,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,6.6000825
2023,2,APÓSITO DE ESPUMA DE POLIURETANO Y POLIACRILATO CON SILICONA-13,2.089980792857143
2023,2,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 1cm.-30,0.48400000000000004
2023,2,APÓSITO TRANSPARENTE ADHESIVO-20,0.27499992
2023,2,APOSITO ABSORBENTE S/ ADHESIVO-25,0.20370370000000002
2023,2,BOMBA DE UN SOLO USO / TERAPIA PRESIÓN NEGATIVA C/ APOSITO-28,165.0
2023,2,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 2cm.-31,0.30987
2023,2,EQ. DE PRESION NEGATIVA CON INSTILACIÓN-33,0.0
2023,3,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,6.2589999999999995
2023,3,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,10.703
2023,3,APOSITO DE HIDROFIBRA  / CINTA-18,2.42
2023,3,APOSITO DE ESPUMA POLIURETANO / SACRO-11,0.0
