CODIGO,NUMERO,REFERENCIA,CANTIDADCOMPRA,UNIDADESCONSUMOCONTENIDAS,PRECIO,IMPORTELINEA,TIPOCOMPRA,TGL,PRODUCTO,REGION,HOSPITAL,DEPARTAMENTO,MES,AÑO,PRECIOUNIDAD
E99808,1595724/23,178567.1,60,10,62.59,375.54,Compra menor,TRANSITO,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-3,1,2,60,1,2023,6.259
B41691,72714/16,400403,40,10,102.803729,411.214916,Compra menor,ALMACENABLE,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,0,10,1,2,2016,10.2803729
E64543,71961/16,403770,20,5,12.1,48.4,Compra menor,TRANSITO,APOSITO DE HIDROFIBRA  / CINTA-18,0,4,111,2,2016,2.42
E65007,72773/16,20415,100,50,215.325,430.65,Concurso,ALMACENABLE,APOSITO DE ESPUMA POLIURETANO / SACRO-11,0,10,1,2,2016,4.3065
E64911,86159/17,20701,300,300,792.0,792.0,Concurso,ALMACENABLE,APOSITO C/ CARBON Y PLATA-6,0,6,1,2,2017,2.64
E65509,86264/17,161445.2,80,10,53.888999,431.111992,Concurso,ALMACENABLE,APOSITO DE FIBRAS DE POLIACRILATO-3,0,0,2,2,2017,5.3888999
E65894,86265/17,157028.4,140,10,35.189001,492.646014,Concurso,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-39,0,6,1,2,2017,3.5189000999999998
E66071,86147/17,420680,600,10,20.9,1254.0,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,0,13,1,2,2017,2.09
E64543,91119/18,403770,40,5,12.1,96.8,Compra menor,TRANSITO,APOSITO DE HIDROFIBRA  / CINTA-18,0,11,153,2,2018,2.42
E64663,92073/18,413568,100,100,539.0055,539.0055,Concurso,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,0,0,2,2,2018,5.390055
E64898,91173/18,0037447,350,350,577.5,577.5,Concurso,TRANSITO,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,0,6,95,2,2018,1.65
E65056,92038/18,33533,882,3,1.8513,544.2822,Compra menor,ALMACENABLE,APOSITO DE HIDROCOLOIDE-9,0,0,2,2,2018,0.6171
E66071,92071/18,420680,120,10,20.9,250.8,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,0,0,2,2,2018,2.0900000000000003
E70130,92069/18,187662,400,50,126.5,1012.0,Concurso,ALMACENABLE,APOSITO DE HIDROCOLOIDE-7,0,13,1,2,2018,2.53
E64761,101923/19,265868.4,50,5,13.497,134.97,Compra menor,TRANSITO,APOSITO DE HIDROCOLOIDE C/ PLATA-2,0,0,37,2,2019,2.6994
E64946,101322/19,66800248,100,10,16.5,165.0,Concurso,ALMACENABLE,APOSITO DE ESPUMA POLIURETANO-8,0,18,1,2,2019,1.65
E64543,112428/21,403770,50,5,12.1,121.0,Compra menor,TRANSITO,APOSITO DE HIDROFIBRA  / CINTA-18,0,18,178,2,2021,2.42
E64543,109933/21,403770,10,5,12.1,24.2,Compra menor,TRANSITO,APOSITO DE HIDROFIBRA  / CINTA-18,0,4,111,2,2021,2.42
E64663,112639/21,413568,65,5,26.399925,343.199025,Concurso,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,0,4,1,2,2021,5.279985
E64764,112752/21,1383,3300,300,27.588,303.468,Concurso,ALMACENABLE,APÓSITO ABSORBENTE C/ ADHESIVO-22,0,18,1,2,2021,0.09196
E64765,112752/21,1385,900,300,49.302,147.906,Concurso,ALMACENABLE,APÓSITO ABSORBENTE C/ ADHESIVO-23,0,18,1,2,2021,0.16434
E64932,113533/21,7311,80,40,30.822,61.644,Concurso,ALMACENABLE,HIDROGEL-37,0,4,1,2,2021,0.77055
E64932,113535/21,7311,100,10,7.7055,77.055,Concurso,ALMACENABLE,HIDROGEL-37,0,0,2,2,2021,0.7705500000000001
E64983,113420/21,157027.7,200,10,15.345,306.9,Concurso,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-38,0,4,1,2,2021,1.5345
E65509,113419/21,161445.2,160,80,429.44,858.88,Concurso,ALMACENABLE,APOSITO DE FIBRAS DE POLIACRILATO-3,0,0,2,2,2021,5.368
E66071,112621/21,420680,150,10,18.59,278.85,Concurso,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,0,10,1,2,2021,1.8590000000000002
E69682,113416/21,166680.2,90,10,131.89,1187.01,Concurso,ALMACENABLE,APÓSITO MALLADO C/ OLIGOSACÁRIDOS-1,0,10,1,2,2021,13.189
E78950,111465/21,TR101,24,12,77.88,155.76,Compra menor,TRANSITO,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,0,12,101,2,2021,6.489999999999999
E99807,113419/21,178565.7,100,10,47.19,471.9,Concurso,ALMACENABLE,APOSITO DE FIBRAS DE POLIACRILATO C/PLATA-6,0,0,2,2,2021,4.718999999999999
E78950,123149/22,TR101,12,12,77.88,77.88,Compra menor,TRANSITO,ELIMINADOR DE ADHESIVOS MEDICOS DE LA PIEL-17,0,12,146,2,2022,6.489999999999999
B40558,124328/23,400505,10,1,13.189,131.89,Compra menor,TRANSITO,GEL P/ LIMPIEZA  Y DESCONTAMINACION DE HERIDAS-15,0,18,71,2,2023,13.188999999999998
B41691,124544/23,400403,220,10,134.431,2957.482,Compra menor,ALMACENABLE,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,0,10,1,2,2023,13.4431
E64543,120359/23,403770,15,5,12.1,36.3,Compra menor,TRANSITO,APOSITO DE HIDROFIBRA  / CINTA-18,0,14,50,2,2023,2.42
F43580,125147/23,M8275051/5,20,5,412.5,1650.0,Compra menor,TRANSITO,EQ. DE PRESION NEGATIVA / Espuma de poliuretano-32,0,11,151,2,2023,82.5
F50071,125134/23,421554,10,5,114.95,229.9,Compra menor,TRANSITO,APOSITO DE HIDROFIBRA HIDROCOLOIDE P/ BOMBA DE UN SOLO USO-26,0,11,136,2,2023,22.990000000000002
E64544,124697/23,420621,350,10,42.349958,1482.24853,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-10,0,10,1,2,2023,4.2349958
E64932,125481/23,7311,540,10,7.7055,416.097,Concurso,ALMACENABLE,HIDROGEL-37,0,10,1,2,2023,0.77055
E64983,125246/23,157027.7,330,10,15.345,506.385,Compra menor,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-38,0,10,1,2,2023,1.5345
E65056,124530/23,33533,273,3,0.989571,90.050961,Concurso,ALMACENABLE,APOSITO DE HIDROCOLOIDE-9,0,10,1,2,2023,0.329857
E65509,125354/23,161445.2,70,10,53.68,375.76,Compra menor,ALMACENABLE,APOSITO DE FIBRAS DE POLIACRILATO-3,0,18,1,2,2023,5.367999999999999
E65894,125246/23,157028.4,200,10,34.98,699.6,Compra menor,ALMACENABLE,APOSITO MALLADO C/ PARAFINA-39,0,10,1,2,2023,3.498
E66071,124697/23,420680,670,10,18.59,1245.53,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,0,10,1,2,2023,1.859
E66071,124705/23,420680,1000,10,18.59,1859.0,Compra menor,ALMACENABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,0,13,1,2,2023,1.859
