PRODUCTO,AÑO,MES,TIPOCOMPRA,HOSPITAL,TGL,CANTIDADCOMPRA
SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,2016,2,Compra menor,10,ALMACENABLE,40
APOSITO DE HIDROFIBRA  / CINTA-18,2016,2,Compra menor,4,TRANSITO,20
APOSITO DE ESPUMA POLIURETANO / SACRO-11,2016,2,Concurso,10,ALMACENABLE,100
APOSITO C/ CARBON Y PLATA-6,2017,2,Concurso,6,ALMACENABLE,300
APOSITO DE FIBRAS DE POLIACRILATO-3,2017,2,Concurso,0,ALMACENABLE,80
APOSITO MALLADO C/ PARAFINA-39,2017,2,Concurso,6,ALMACENABLE,140
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2017,2,Compra menor,13,ALMACENABLE,600
APOSITO DE HIDROFIBRA  / CINTA-18,2018,2,Compra menor,11,TRANSITO,40
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2018,2,Concurso,0,ALMACENABLE,100
APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,2018,2,Concurso,6,TRANSITO,350
APOSITO DE HIDROCOLOIDE-9,2018,2,Compra menor,0,ALMACENABLE,882
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,2018,2,Compra menor,0,ALMACENABLE,120
APOSITO DE HIDROCOLOIDE-7,2018,2,Concurso,13,ALMACENABLE,400
APOSITO DE HIDROCOLOIDE C/ PLATA-2,2019,2,Compra menor,0,TRANSITO,50
APOSITO DE ESPUMA POLIURETANO-8,2019,2,Concurso,18,ALMACENABLE,100
APOSITO DE HIDROFIBRA  / CINTA-18,2021,2,Compra menor,18,TRANSITO,50
APOSITO DE HIDROFIBRA  / CINTA-18,2021,2,Compra menor,4,TRANSITO,10
APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,2021,2,Concurso,4,ALMACENABLE,65
